Wall time,Step,Value
1690021703.446335,0,32.2084846496582
1690021711.906715,0,29.978492736816406
1690021723.733386,0,36.05422592163086
1690021733.79613,0,41.69940948486328
1690021734.614049,0,32.66986083984375
1690021740.976202,0,36.34746551513672
1690021746.648782,0,32.833045959472656
1690021746.970864,0,30.778350830078125
1690021748.270397,0,40.18072509765625
1690021774.429129,0,34.15892791748047
1690021784.490485,0,44.08559036254883
1690021791.549564,0,34.99905776977539
1690021792.681979,0,33.565834045410156
1690021800.504037,0,38.07353210449219
1690021802.632584,0,40.593727111816406
1690021813.542415,0,37.00659942626953
1690021814.834994,0,42.76906204223633
1690021829.589944,0,34.470489501953125
1690021834.186985,0,29.421001434326172
1690021863.478288,1,36.936336517333984
1690021872.029519,1,25.325786590576172
1690021878.242907,1,29.95948028564453
1690021890.710287,1,45.37274169921875
1690021904.691881,1,40.57371520996094
1690021913.678202,1,24.99726676940918
1690021914.166627,1,48.514732360839844
1690021916.455453,1,38.15247344970703
1690021917.129069,1,41.6434211730957
1690021924.908611,1,26.557748794555664
1690021926.036324,1,33.35606002807617
1690021933.224408,1,29.103967666625977
1690021952.240878,1,44.634620666503906
1690021975.713427,1,36.10617446899414
1690021982.802762,1,44.940452575683594
1690021983.296324,1,45.4839973449707
1690022006.227728,1,34.395164489746094
1690022012.801989,1,29.974468231201172
1690022033.529408,2,28.06429672241211
1690022043.392695,2,35.092159271240234
1690022060.380659,2,27.768291473388672
1690022070.730975,2,33.50515365600586
1690022078.138872,2,37.08544158935547
1690022091.656057,2,30.25690460205078
1690022100.103288,2,44.451297760009766
1690022108.172322,2,49.466796875
1690022108.339061,2,31.84544563293457
1690022110.291949,2,30.795270919799805
1690022115.864729,2,32.101715087890625
1690022141.095437,2,31.75897216796875
1690022150.135513,2,30.483278274536133
1690022188.220691,2,34.961456298828125
1690022200.276562,3,34.880489349365234
1690022220.613023,3,38.85134506225586
1690022232.779896,3,31.138500213623047
1690022235.424577,3,31.534954071044922
1690022245.114256,3,35.54058074951172
1690022297.493121,3,40.00271987915039
1690022297.81928,3,49.7713623046875
1690022306.075989,3,29.873035430908203
1690022317.738111,3,38.44588851928711
1690022329.784253,3,32.140560150146484
1690022330.944595,3,32.8388557434082
1690022348.556296,3,37.577980041503906
1690022353.160864,3,35.547664642333984
1690022367.395568,4,49.81499099731445
1690022377.600564,4,48.445640563964844
1690022393.706134,4,30.48756217956543
1690022399.673662,4,43.8836669921875
1690022413.666385,4,39.50819778442383
1690022428.0927,4,37.331912994384766
1690022443.255297,4,37.74943542480469
1690022446.062816,4,27.977001190185547
1690022472.238914,4,27.614137649536133
1690022473.559265,4,38.18037796020508
1690022491.997362,4,31.45124053955078
1690022522.810099,4,40.31770324707031
1690022547.538955,5,43.75824737548828
1690022552.18297,5,33.26618194580078
1690022587.912924,5,41.842899322509766
1690022590.22514,5,40.271732330322266
1690022621.633692,5,35.329986572265625
1690022643.790089,5,41.22367477416992
1690022651.079147,5,32.23318099975586
1690022665.129233,5,32.171119689941406
1690022674.428992,5,36.438377380371094
1690022675.576109,5,39.561859130859375
1690022681.551911,5,29.125076293945312
1690022695.266158,5,31.85348129272461
1690022731.088851,6,24.42465591430664
1690022734.236445,6,42.63725280761719
1690022745.828707,6,24.45461654663086
1690022760.229547,6,34.83432388305664
1690022793.707969,6,32.27825927734375
1690022798.554204,6,35.15256118774414
1690022814.480162,6,45.666847229003906
1690022816.469071,6,42.789127349853516
1690022840.805928,6,30.253992080688477
1690022859.303686,6,38.388675689697266
1690022884.205714,7,31.00098419189453
1690022891.001807,7,44.24944305419922
1690022929.386815,7,38.835853576660156
1690022942.264058,7,33.030052185058594
1690022942.760004,7,33.319297790527344
1690022945.243051,7,31.047109603881836
1690022950.680789,7,44.53047561645508
1690022997.228325,7,48.49848556518555
1690022998.887821,7,34.050594329833984
1690023004.69764,7,33.248130798339844
1690023030.847207,7,33.739070892333984
1690023044.332624,8,40.26091003417969
1690023063.235733,8,45.7320556640625
1690023070.038512,8,49.151302337646484
1690023093.52571,8,37.53554153442383
1690023095.842822,8,36.86602020263672
1690023116.630311,8,43.27709197998047
1690023118.289454,8,35.86425018310547
1690023133.70052,8,28.742860794067383
1690023180.239891,8,32.197242736816406
1690023188.506205,8,31.612348556518555
1690023189.667884,8,28.751174926757812
1690023199.284373,8,43.446739196777344
1690023244.582153,9,31.126070022583008
1690023279.074708,9,33.52416229248047
1690023293.344224,9,24.569107055664062
1690023295.515019,9,34.58927536010742
1690023314.943922,9,35.31357192993164
1690023317.922561,9,35.37775421142578
1690023341.937723,9,49.75965881347656
1690023352.504027,9,42.246856689453125
1690023416.731358,10,38.56636428833008
1690023417.893081,10,36.895442962646484
1690023437.11402,10,30.416475296020508
1690023451.091224,10,43.47321319580078
1690023458.238965,10,35.50284957885742
1690023472.284576,10,32.75180435180664
1690023497.070846,10,42.477577209472656
1690023497.233894,10,28.586524963378906
1690023500.890907,10,40.577049255371094
1690023513.189799,10,31.228355407714844
1690023521.790313,10,33.997772216796875
1690023522.284002,10,45.22756576538086
1690023528.571901,10,41.38450622558594
1690023532.385079,10,25.896636962890625
1690023533.706361,10,44.51298522949219
1690023541.650481,11,39.86833190917969
1690023555.182354,11,23.436079025268555
1690023558.307819,11,37.215763092041016
1690023608.483496,11,48.58559799194336
1690023617.272146,11,27.743736267089844
1690023620.56954,11,32.017086029052734
1690023625.712831,11,45.07557678222656
1690023627.187679,11,29.843557357788086
1690023632.810235,11,22.160722732543945
1690023653.164599,11,49.760955810546875
1690023665.419182,11,42.878089904785156
1690023700.177405,11,40.903839111328125
1690023701.004774,11,31.173786163330078
1690023729.206364,12,36.12366485595703
1690023733.51318,12,27.614561080932617
1690023754.331265,12,25.22201919555664
1690023818.063398,12,28.769935607910156
1690023852.886515,12,27.795238494873047
1690023863.168586,12,28.6761417388916
1690023879.249222,13,29.7131290435791
1690023883.708669,13,26.195640563964844
1690023887.171592,13,47.24427032470703
1690023889.141857,13,42.24970626831055
1690023891.59108,13,42.53855514526367
1690023940.826485,13,32.032989501953125
1690023957.704862,13,29.217626571655273
1690023964.669488,13,22.557031631469727
1690023973.124615,13,32.845726013183594
1690023977.674367,13,29.080734252929688
1690023987.42729,13,39.57701873779297
1690024009.154341,13,29.0237979888916
1690024021.402029,13,45.096614837646484
1690024055.160457,14,32.08966827392578
1690024078.535731,14,44.895931243896484
1690024090.644198,14,38.84182357788086
1690024094.965163,14,31.364065170288086
1690024097.965399,14,30.378154754638672
1690024107.742787,14,29.247196197509766
1690024116.735202,14,36.27360153198242
1690024147.335074,14,31.588951110839844
1690024148.325225,14,32.30004119873047
1690024153.294289,14,35.07866287231445
1690024154.785678,14,29.193788528442383
1690024156.447736,14,48.2252082824707
1690024171.649393,14,38.9586067199707
1690024177.341268,14,30.836166381835938
1690024187.951851,14,51.89289855957031
1690024191.095514,14,26.763622283935547
1690024226.425474,15,40.388710021972656
