Wall time,Step,Value
1690021703.44637,0,1.501049518585205
1690021711.906741,0,0.6011189222335815
1690021723.733404,0,0.6147493124008179
1690021733.796149,0,0.18412485718727112
1690021734.61407,0,0.4192814230918884
1690021740.976233,0,0.8197767734527588
1690021746.648801,0,0.5463227033615112
1690021746.970885,0,0.9777068495750427
1690021748.270413,0,0.09764383733272552
1690021774.429163,0,0.362312376499176
1690021784.490507,0,0.46250608563423157
1690021791.549582,0,0.17080485820770264
1690021792.682021,0,0.4653942584991455
1690021800.504064,0,0.17053064703941345
1690021802.632618,0,0.22872477769851685
1690021813.542545,0,0.2696842849254608
1690021814.835022,0,0.1478808969259262
1690021829.589973,0,1.0302046537399292
1690021834.187003,0,2.5820605754852295
1690021863.478321,1,0.37222111225128174
1690021872.029538,1,1.3073487281799316
1690021878.242928,1,2.1947762966156006
1690021890.710314,1,0.1207786574959755
1690021904.691912,1,0.35938531160354614
1690021913.678241,1,1.6286096572875977
1690021914.166646,1,0.33724239468574524
1690021916.455486,1,0.28543221950531006
1690021917.129097,1,0.6491838693618774
1690021924.908642,1,1.9212746620178223
1690021926.036347,1,0.4903598427772522
1690021933.224426,1,0.7377251386642456
1690021952.240901,1,0.4638141095638275
1690021975.713445,1,0.191279336810112
1690021982.802798,1,0.28130048513412476
1690021983.296342,1,0.6240881085395813
1690022006.227748,1,0.6534740924835205
1690022012.802004,1,1.3202569484710693
1690022033.529425,2,0.996371328830719
1690022043.392726,2,0.8283002376556396
1690022060.380676,2,0.9106565117835999
1690022070.731,2,0.4519038200378418
1690022078.1389,2,0.15992657840251923
1690022091.656086,2,0.4975486397743225
1690022100.103304,2,0.10739238560199738
1690022108.172361,2,0.14120659232139587
1690022108.339076,2,1.2484053373336792
1690022110.291965,2,0.5503038167953491
1690022115.864762,2,0.40190115571022034
1690022141.095455,2,0.5647000670433044
1690022150.135548,2,1.7555447816848755
1690022188.220709,2,0.29667896032333374
1690022200.276603,3,0.25053882598876953
1690022220.613049,3,0.37236201763153076
1690022232.779913,3,0.3567243218421936
1690022235.424597,3,1.095114827156067
1690022245.114282,3,0.2488251030445099
1690022297.493146,3,0.513261079788208
1690022297.819307,3,0.1345108598470688
1690022306.076015,3,0.4731392562389374
1690022317.738141,3,0.2271082103252411
1690022329.784284,3,2.525036096572876
1690022330.944628,3,1.8754721879959106
1690022348.556322,3,0.44460833072662354
1690022353.160895,3,0.22044780850410461
1690022367.395593,4,0.07992131263017654
1690022377.600599,4,0.16881892085075378
1690022393.706165,4,0.7083212733268738
1690022399.673696,4,1.0127912759780884
1690022413.666408,4,0.21403557062149048
1690022428.092727,4,1.2655136585235596
1690022443.255326,4,1.4409847259521484
1690022446.062845,4,0.44886475801467896
1690022472.238934,4,1.2244746685028076
1690022473.559281,4,0.49516046047210693
1690022491.997381,4,0.6767168045043945
1690022522.810126,4,0.07351543754339218
1690022547.538984,5,0.17353016138076782
1690022552.182999,5,0.38192492723464966
1690022587.912951,5,0.3956996202468872
1690022590.225165,5,1.0193828344345093
1690022621.633726,5,1.8137959241867065
1690022643.790127,5,0.23278766870498657
1690022651.079174,5,0.8843798637390137
1690022665.129258,5,0.852666974067688
1690022674.429018,5,0.12453638017177582
1690022675.576142,5,1.053506851196289
1690022681.551937,5,0.23063123226165771
1690022695.266175,5,0.25387322902679443
1690022731.088868,6,0.5779052972793579
1690022734.236477,6,0.17338065803050995
1690022745.828733,6,1.6767809391021729
1690022760.229565,6,0.15866965055465698
1690022793.707995,6,0.78690105676651
1690022798.554225,6,0.6173285841941833
1690022814.480179,6,0.051982585340738297
1690022816.469089,6,1.606557846069336
1690022840.805944,6,0.31304919719696045
1690022859.303706,6,0.40466466546058655
1690022884.205741,7,1.7961238622665405
1690022891.001824,7,0.7239685654640198
1690022929.386834,7,0.7302857041358948
1690022942.264076,7,0.33503350615501404
1690022942.76002,7,0.5482841730117798
1690022945.243085,7,0.6340414881706238
1690022950.680807,7,0.0771666169166565
1690022997.228344,7,0.08193957060575485
1690022998.887848,7,0.1538732796907425
1690023004.697661,7,0.1974658966064453
1690023030.847233,7,1.869214415550232
1690023044.332651,8,0.7003607749938965
1690023063.235761,8,0.05155259370803833
1690023070.038541,8,0.08049988746643066
1690023093.525739,8,0.5595543384552002
