Wall time,Step,Value
1690021703.446354,0,0.9121039509773254
1690021711.90673,0,1.5302064418792725
1690021723.733397,0,1.7287968397140503
1690021733.796141,0,3.1094064712524414
1690021734.61406,0,1.5600709915161133
1690021740.976218,0,0.9736928343772888
1690021746.648794,0,1.1637407541275024
1690021746.970879,0,3.0795984268188477
1690021748.270408,0,3.8002524375915527
1690021774.429145,0,1.7359856367111206
1690021784.490496,0,1.9120749235153198
1690021791.549576,0,3.170929431915283
1690021792.681991,0,2.4909331798553467
1690021800.504053,0,2.2235636711120605
1690021802.6326,0,3.0799789428710938
1690021813.542428,0,2.912839889526367
1690021814.835009,0,4.3522467613220215
1690021829.58996,0,0.7000826001167297
1690021834.186995,0,0.1971900314092636
1690021863.478304,1,3.434856653213501
1690021872.029529,1,2.3096485137939453
1690021878.242918,1,3.2912776470184326
1690021890.710303,1,2.8408000469207764
1690021904.691898,1,4.112876892089844
1690021913.678225,1,2.278716802597046
1690021914.166638,1,1.4377797842025757
1690021916.455472,1,2.805049180984497
1690021917.129087,1,0.8659908771514893
1690021924.908627,1,1.4953898191452026
1690021926.036338,1,1.2667856216430664
1690021933.224417,1,1.1061559915542603
1690021952.240888,1,4.428650379180908
1690021975.71344,1,2.4931249618530273
1690021982.80278,1,1.6003406047821045
1690021983.296335,1,1.0687652826309204
1690022006.227738,1,1.2170723676681519
1690022012.801999,1,1.0907045602798462
1690022033.529418,2,0.6382548809051514
1690022043.392711,2,2.2146570682525635
1690022060.380671,2,1.7980983257293701
1690022070.730989,2,3.3158326148986816
1690022078.138887,2,2.497905731201172
1690022091.656072,2,2.1261942386627197
1690022100.103298,2,3.968198537826538
1690022108.172345,2,2.693544864654541
1690022108.339071,2,1.4806722402572632
1690022110.291958,2,3.839853286743164
1690022115.864739,2,3.568284034729004
1690022141.095449,2,2.7952487468719482
1690022150.135533,2,3.8428852558135986
1690022188.220701,2,2.160461664199829
1690022200.276573,3,2.1096158027648926
1690022220.613039,3,1.905415415763855
1690022232.779906,3,2.489938259124756
1690022235.424588,3,3.349745512008667
1690022245.114271,3,2.675758123397827
1690022297.493136,3,1.2077170610427856
1690022297.819294,3,2.31550669670105
1690022306.076005,3,1.4471474885940552
1690022317.738128,3,2.258297920227051
1690022329.784272,3,3.104762315750122
1690022330.944606,3,4.670726299285889
1690022348.556312,3,2.707782030105591
1690022353.160881,3,2.0285956859588623
1690022367.395582,4,2.9593145847320557
1690022377.600574,4,2.3520352840423584
1690022393.706155,4,0.9375434517860413
1690022399.673673,4,2.9089784622192383
1690022413.666399,4,3.7848129272460938
1690022428.092716,4,0.47785186767578125
1690022443.255307,4,2.6392087936401367
1690022446.062833,4,2.89951491355896
1690022472.238926,4,2.952824115753174
1690022473.559276,4,1.1454362869262695
1690022491.997376,4,1.5525766611099243
1690022522.810115,4,3.1975879669189453
1690022547.538971,5,2.4988179206848145
1690022552.182985,5,1.3464404344558716
1690022587.912939,5,1.7024544477462769
1690022590.225155,5,0.679856538772583
1690022621.633703,5,4.814719200134277
1690022643.790108,5,1.9505667686462402
1690022651.079164,5,2.717841625213623
1690022665.129244,5,3.213325262069702
1690022674.429005,5,3.0661795139312744
1690022675.576126,5,0.7226651906967163
1690022681.551927,5,2.288895606994629
1690022695.266167,5,2.3529443740844727
1690022731.088862,6,1.040074348449707
1690022734.236461,6,4.241363048553467
1690022745.828723,6,2.6001291275024414
1690022760.229558,6,2.6287190914154053
1690022793.707985,6,0.7642761468887329
1690022798.554214,6,2.982229709625244
1690022814.480173,6,3.561166763305664
1690022816.469082,6,5.239621162414551
1690022840.805938,6,3.4255449771881104
1690022859.303699,6,1.3750141859054565
1690022884.20573,7,0.5354608297348022
1690022891.001818,7,1.9423182010650635
